mz,intensity,percent,DistributionLabel
460.75,282,8.85,Br3Cl2
461.74,3187,100,Br3Cl2
462.75,426,13.37,Br3Cl2
463.74,1976,62,Br3Cl2
464.74,262,8.22,Br3Cl2
465.74,603,18.92,Br3Cl2
466.74,75,2.35,Br3Cl2
467.74,56,1.76,Br3Cl2
468.74,6,0.19,Br3Cl2
469.74,1,0.03,Br3Cl2
491.71,517,17.07,Br3Cl3
492.71,72,2.38,Br3Cl3
493.71,1898,62.66,Br3Cl3
494.71,213,7.03,Br3Cl3
495.7,3029,100,Br3Cl3
496.71,396,13.07,Br3Cl3
497.7,2345,77.42,Br3Cl3
498.7,277,9.14,Br3Cl3
499.7,876,28.92,Br3Cl3
500.7,145,4.79,Br3Cl3
501.7,197,6.5,Br3Cl3
502.7,21,0.69,Br3Cl3
503.69,13,0.43,Br3Cl3
504.7,1,0.03,Br3Cl3
525.67,410,15.18,Br3Cl4
526.67,60,2.22,Br3Cl4
527.67,1492,55.24,Br3Cl4
528.67,196,7.26,Br3Cl4
529.66,2701,100,Br3Cl4
530.67,354,13.11,Br3Cl4
531.66,2475,91.63,Br3Cl4
532.67,315,11.66,Br3Cl4
533.66,1316,48.72,Br3Cl4
534.66,161,5.96,Br3Cl4
535.66,384,14.22,Br3Cl4
536.66,62,2.3,Br3Cl4
537.65,59,2.18,Br3Cl4
538.66,8,0.3,Br3Cl4
539.65,7,0.26,Br3Cl4
559.63,309,12.31,Br3Cl5
560.63,39,1.55,Br3Cl5
561.63,1289,51.33,Br3Cl5
562.63,192,7.65,Br3Cl5
563.63,2434,96.93,Br3Cl5
564.63,311,12.39,Br3Cl5
565.62,2511,100,Br3Cl5
566.63,316,12.58,Br3Cl5
567.62,1517,60.41,Br3Cl5
568.62,207,8.24,Br3Cl5
569.62,611,24.33,Br3Cl5
570.62,88,3.5,Br3Cl5
571.62,132,5.26,Br3Cl5
572.62,23,0.92,Br3Cl5
573.61,19,0.76,Br3Cl5
574.63,1,0.04,Br3Cl5
575.61,1,0.04,Br3Cl5
501.7,472,15.67,Br4Cl1
502.7,64,2.12,Br4Cl1
503.69,1835,60.92,Br4Cl1
504.7,242,8.03,Br4Cl1
505.69,3012,100,Br4Cl1
506.7,409,13.58,Br4Cl1
507.69,2411,80.05,Br4Cl1
508.69,328,10.89,Br4Cl1
509.69,971,32.24,Br4Cl1
510.69,129,4.28,Br4Cl1
511.69,104,3.45,Br4Cl1
512.69,22,0.73,Br4Cl1
513.69,1,0.03,Br4Cl1
535.66,329,11.78,Br4Cl2
536.66,50,1.79,Br4Cl2
