"theoretical_mz","theoretical_percent_intensity","distribution_name"
302.93,8.28,"Br1Cl2"
303.92,100,"Br1Cl2"
304.93,12.91,"Br1Cl2"
305.92,45.34,"Br1Cl2"
306.92,5.93,"Br1Cl2"
307.92,6.42,"Br1Cl2"
308.92,0.75,"Br1Cl2"
309.93,0.1,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl2"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
335.89,49.91,"Br1Cl3"
336.89,6.63,"Br1Cl3"
337.89,100,"Br1Cl3"
338.89,13.38,"Br1Cl3"
339.88,65.58,"Br1Cl3"
340.89,8.01,"Br1Cl3"
341.88,17.23,"Br1Cl3"
342.88,2.19,"Br1Cl3"
343.88,1.16,"Br1Cl3"
344.88,0.24,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl3"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
369.85,45.71,"Br1Cl4"
370.85,6.38,"Br1Cl4"
371.85,100,"Br1Cl4"
372.85,14.15,"Br1Cl4"
373.84,82.74,"Br1Cl4"
374.85,9.31,"Br1Cl4"
375.84,32.16,"Br1Cl4"
376.84,4.23,"Br1Cl4"
377.84,5.96,"Br1Cl4"
378.84,1,"Br1Cl4"
379.84,0.51,"Br1Cl4"
380.84,0.15,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl4"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
403.81,37.86,"Br1Cl5"
404.81,4.85,"Br1Cl5"
405.81,98.1,"Br1Cl5"
406.81,12.47,"Br1Cl5"
407.8,100,"Br1Cl5"
408.81,12.31,"Br1Cl5"
409.8,49.08,"Br1Cl5"
410.8,5.8,"Br1Cl5"
411.8,13.56,"Br1Cl5"
412.8,1.76,"Br1Cl5"
413.8,2.71,"Br1Cl5"
414.8,0.31,"Br1Cl5"
415.79,0.14,"Br1Cl5"
416.8,0.03,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br1Cl5"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
345.88,43.98,"Br2Cl1"
346.88,6.08,"Br2Cl1"
347.87,100,"Br2Cl1"
348.88,12.84,"Br2Cl1"
349.87,72.24,"Br2Cl1"
350.87,9.07,"Br2Cl1"
351.87,13.8,"Br2Cl1"
352.87,1.82,"Br2Cl1"
353.88,0.1,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl1"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
379.84,38.4,"Br2Cl2"
380.84,5.7,"Br2Cl2"
381.83,100,"Br2Cl2"
382.84,13.08,"Br2Cl2"
383.83,85.68,"Br2Cl2"
384.84,11.54,"Br2Cl2"
385.83,32,"Br2Cl2"
386.83,4.25,"Br2Cl2"
387.83,3.9,"Br2Cl2"
388.83,0.59,"Br2Cl2"
389.83,0.03,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl2"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
413.8,32.33,"Br2Cl3"
414.8,4.16,"Br2Cl3"
415.8,92.83,"Br2Cl3"
416.8,11.75,"Br2Cl3"
417.79,100,"Br2Cl3"
418.8,13.84,"Br2Cl3"
419.79,49.8,"Br2Cl3"
420.79,7.07,"Br2Cl3"
421.79,13.06,"Br2Cl3"
422.79,1.51,"Br2Cl3"
423.79,0.75,"Br2Cl3"
424.79,0.1,"Br2Cl3"
425.79,0.03,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl3"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
NA,0,"Br2Cl4"
